sample_id,generator,target_risk_level,generator_target_cell,repeat_count,traffic_manager_seeds,observed_risk_score_mean,observed_risk_score_std,observed_risk_score_min,observed_risk_score_max,observed_risk_level_mode,observed_risk_level_consistency,collision_run_rate,collision_event_total,minimum_ttc_seconds_min,minimum_lead_gap_m_min,minimum_pedestrian_distance_m_min,parameter_weather_cloudiness,parameter_weather_precipitation,parameter_weather_precipitation_deposits,parameter_weather_wind_intensity,parameter_weather_fog_density,parameter_weather_fog_distance,parameter_weather_sun_altitude_angle,parameter_weather_wetness,parameter_lead_vehicle_initial_distance_m,parameter_lead_vehicle_brake_trigger_seconds,parameter_lead_vehicle_brake_intensity,parameter_pedestrian_forward_distance_m,parameter_pedestrian_roadside_offset_m,parameter_pedestrian_trigger_seconds,parameter_pedestrian_speed_mps,feature_01_weather_cloudiness,feature_02_weather_precipitation,feature_03_weather_precipitation_deposits,feature_04_weather_wind_intensity,feature_05_weather_fog_density,feature_06_weather_fog_distance,feature_07_weather_sun_altitude_angle,feature_08_weather_wetness,feature_09_lead_vehicle_initial_distance_m,feature_10_lead_vehicle_brake_trigger_seconds,feature_11_lead_vehicle_brake_intensity,feature_12_pedestrian_forward_distance_m,feature_13_pedestrian_roadside_offset_m,feature_14_pedestrian_trigger_seconds,feature_15_pedestrian_speed_mps,oof_predicted_risk_score,oof_absolute_error
cvae_medium_20260813_0082,cvae,medium,cvae__medium,3,"20260821,20260822,20260823",28.422666666666668,1.1825702234257938,27.059,29.166,medium,1.0,0.0,0,1.502,4.047,9.26,80.566,68.01,64.467,41.14,57.384,21.81,6.061,74.703,32.631,6.498,0.793,34.984,7.124,5.179,3.529,0.7010153846153847,0.600125,0.5558375,0.3804210526315789,0.498635294117647,0.3299999999999999,0.72122,0.6386142857142858,0.6067941176470588,0.5136111111111111,0.54,0.6290370370370371,0.5309999999999999,0.5928070175438597,0.2548333333333333,29.34023261904762,0.9175659523809507
cvae_medium_20260813_0103,cvae,medium,cvae__medium,3,"20260821,20260822,20260823",27.532333333333334,0.1868618027670015,27.319,27.667,medium,1.0,0.0,0,1.684,4.401,10.227,63.774,57.236,47.473,66.767,62.431,28.759,4.419,74.516,30.427,6.779,0.71,31.45,7.955,4.961,3.914,0.4426769230769231,0.46545,0.3434125,0.650178947368421,0.5580117647058823,0.4519122807017544,0.68838,0.6359428571428573,0.5419705882352941,0.5526388888888889,0.3555555555555554,0.4981481481481481,0.73875,0.554561403508772,0.319,28.386812018518516,0.8544786851851818
gmm_critical_20260813_0004,gmm,critical,gmm__critical,3,"20260821,20260822,20260823",85.42566666666667,0.0126622799421471,85.416,85.44,critical,1.0,1.0,18,1.022,4.59,1.589,97.934,94.694,93.394,81.815,93.945,3.303,-9.077,92.715,18.175,3.758,0.975,23.809,5.456,2.586,7.105,0.9682153846153846,0.933675,0.917425,0.8085789473684211,0.9287647058823528,0.0053157894736842,0.41846,0.8959285714285715,0.1816176470588235,0.1330555555555555,0.9444444444444444,0.2151481481481482,0.1140000000000001,0.1378947368421052,0.8508333333333334,53.45805526234569,31.967611404320984
gmm_critical_20260813_0067,gmm,critical,gmm__critical,3,"20260821,20260822,20260823",79.342,0.2217363299055828,79.135,79.576,critical,1.0,1.0,3,1.461,4.63,2.679,92.455,91.345,98.372,91.54,91.421,7.703,-26.109,100.0,17.27,3.697,0.959,26.765,6.755,2.621,7.262,0.8839230769230769,0.8918125,0.97965,0.9109473684210528,0.8990705882352942,0.0825087719298245,0.0778199999999999,1.0,0.155,0.1245833333333333,0.9088888888888887,0.3246296296296296,0.43875,0.1440350877192982,0.8769999999999999,51.828116283509715,27.513883716490284
gmm_critical_20260813_0072,gmm,critical,gmm__critical,3,"20260821,20260822,20260823",46.531,0.1163486140871474,46.402,46.628,medium,1.0,0.0,0,1.694,4.699,5.533,97.651,91.37,93.512,77.794,92.723,4.566,-17.064,88.338,15.786,3.352,0.967,24.894,6.233,2.095,7.03,0.9638615384615384,0.8921250000000001,0.9189,0.7662526315789473,0.9143882352941176,0.0274736842105263,0.25872,0.8333999999999999,0.1113529411764705,0.0766666666666666,0.9266666666666666,0.2553333333333332,0.3082499999999999,0.0517543859649123,0.8383333333333334,62.01470021031747,15.483700210317473
gmm_high_20260813_0005,gmm,high,gmm__high,3,"20260821,20260822,20260823",44.719,0.0866429454716304,44.657,44.818,medium,1.0,0.0,0,1.491,4.157,5.233,95.48,90.025,86.469,70.035,80.403,7.317,-1.094,84.87,26.698,5.12,0.941,26.915,6.411,3.542,5.452,0.9304615384615386,0.8753125,0.8308625,0.6845789473684211,0.7694470588235295,0.0757368421052631,0.57812,0.7838571428571429,0.4322941176470588,0.3222222222222222,0.8688888888888887,0.3301851851851851,0.3527499999999999,0.3056140350877192,0.5753333333333334,45.55786862962964,0.838868629629637
gmm_high_20260813_0049,gmm,high,gmm__high,3,"20260821,20260822,20260823",44.082,0.4966558164362926,43.509,44.389,medium,1.0,0.0,0,1.205,4.539,4.233,86.574,87.03,74.068,86.961,68.036,12.763,-25.004,91.827,22.401,4.79,0.963,33.098,7.745,4.071,4.867,0.7934461538461538,0.837875,0.67585,0.8627473684210526,0.6239529411764706,0.1712807017543859,0.0999199999999999,0.8832428571428571,0.3059117647058823,0.2763888888888889,0.9177777777777776,0.5591851851851851,0.68625,0.3984210526315789,0.4778333333333333,54.00493643562609,9.922936435626092
gmm_high_20260813_0079,gmm,high,gmm__high,3,"20260821,20260822,20260823",78.97833333333332,0.0662746809372427,78.907,79.038,critical,1.0,1.0,18,1.261,4.65,1.651,88.827,91.783,81.942,77.953,85.017,13.67,-17.463,84.619,20.031,6.209,0.975,29.001,7.055,2.91,5.16,0.8281076923076923,0.8972875,0.7742749999999999,0.7679263157894737,0.8237294117647058,0.1871929824561403,0.2507399999999999,0.7802714285714286,0.2362058823529411,0.4734722222222222,0.9444444444444444,0.4074444444444445,0.5137499999999999,0.1947368421052631,0.5266666666666667,46.65056098324515,32.327772350088175
gmm_low_20260813_0012,gmm,low,gmm__low,3,"20260821,20260822,20260823",24.410666666666668,0.8785672047904666,23.401,25.001,low,0.6666666666666666,0.0,0,1.486,4.266,13.216,51.869,24.73,43.937,28.073,27.225,41.582,16.609,37.916,33.391,8.515,0.735,37.643,7.499,6.908,2.911,0.2595230769230769,0.059125,0.2992125,0.2428736842105263,0.1438235294117647,0.6768771929824562,0.93218,0.1130857142857142,0.6291470588235294,0.7937500000000001,0.411111111111111,0.7275185185185186,0.6247499999999999,0.896140350877193,0.1518333333333333,25.324091537918864,0.9134248712521966
gmm_low_20260813_0036,gmm,low,gmm__low,3,"20260821,20260822,20260823",25.197,0.7352904188142261,24.591,26.015,low,0.6666666666666666,0.0,0,1.517,4.51,8.774,43.456,24.661,53.228,28.589,42.012,28.25,13.634,45.287,38.106,7.898,0.699,45.0,7.641,6.001,3.182,0.1300923076923077,0.0582625,0.41535,0.2483052631578947,0.3177882352941176,0.4429824561403508,0.87268,0.2183857142857142,0.7678235294117648,0.7080555555555555,0.3311111111111109,1.0,0.66025,0.7370175438596492,0.1969999999999999,25.442444699735464,0.24544469973546512
gmm_low_20260813_0072,gmm,low,gmm__low,3,"20260821,20260822,20260823",24.93733333333333,0.4705532205110649,24.397,25.257,medium,0.6666666666666666,0.0,0,1.686,4.032,11.366,73.72,20.0,38.349,29.849,38.49,44.175,6.244,42.114,43.287,8.155,0.61,38.433,7.593,6.607,2.247,0.5956923076923076,0.0,0.2293624999999999,0.2615684210526315,0.2763529411764706,0.7223684210526315,0.72488,0.1730571428571428,0.9202058823529412,0.7437499999999999,0.1333333333333332,0.7567777777777778,0.64825,0.8433333333333334,0.0411666666666666,25.552363625220487,0.6150302918871553
gmm_medium_20260813_0010,gmm,medium,gmm__medium,3,"20260821,20260822,20260823",28.833666666666662,0.3643080198586539,28.413,29.044,medium,1.0,0.0,0,1.684,4.603,10.059,77.05,64.057,67.885,67.412,61.334,17.94,5.841,76.723,31.295,6.28,0.859,30.541,7.842,4.907,3.89,0.6469230769230769,0.5507125,0.5985625000000001,0.6569684210526316,0.5451058823529412,0.2621052631578948,0.71682,0.6674714285714286,0.5675,0.4833333333333334,0.6866666666666666,0.4644814814814815,0.7104999999999999,0.5450877192982456,0.315,31.385056470899453,2.551389804232791
gmm_medium_20260813_0077,gmm,medium,gmm__medium,3,"20260821,20260822,20260823",28.415,0.0849646985518115,28.362,28.513,medium,1.0,0.0,0,1.496,4.577,8.64,64.594,65.485,59.028,67.191,60.137,29.696,2.655,67.99,29.041,8.131,0.745,32.572,6.87,4.844,3.963,0.4552923076923076,0.5685625,0.48785,0.6546421052631579,0.5310235294117647,0.4683508771929824,0.6531,0.5427142857142856,0.5012058823529412,0.7404166666666667,0.4333333333333333,0.5397037037037038,0.4675,0.5340350877192983,0.3271666666666666,29.24965656922394,0.8346565692239416
gmm_medium_20260813_0102,gmm,medium,gmm__medium,3,"20260821,20260822,20260823",33.226,0.8911436472309061,32.709,34.255,medium,1.0,0.0,0,1.505,3.783,3.899,84.303,68.586,50.214,47.961,53.047,29.842,2.995,72.016,29.482,6.253,0.794,38.421,7.868,3.959,3.477,0.7585076923076922,0.607325,0.377675,0.4522210526315789,0.4476117647058823,0.4709122807017543,0.6598999999999999,0.6002285714285716,0.5141764705882352,0.4795833333333333,0.5422222222222223,0.7563333333333333,0.7170000000000001,0.3787719298245613,0.2461666666666666,30.18301616093476,3.04298383906524
lhs_critical_20260813_0036,lhs,critical,lhs__critical,3,"20260821,20260822,20260823",52.37566666666667,0.0468757222166594,52.341,52.429,high,1.0,0.0,0,1.06,3.878,7.531,96.642,97.249,89.832,84.334,96.208,6.099,-15.606,89.653,17.61,2.974,0.989,28.18,5.623,1.91,6.675,0.9483384615384616,0.9656125,0.8728999999999999,0.8350947368421053,0.9553882352941176,0.0543684210526315,0.28788,0.8521857142857143,0.1649999999999999,0.0241666666666667,0.9755555555555556,0.377037037037037,0.15575,0.019298245614035,0.7791666666666667,53.84213894356267,1.466472276895999
lhs_critical_20260813_0055,lhs,critical,lhs__critical,3,"20260821,20260822,20260823",50.272,0.311812443625973,49.945,50.566,high,0.6666666666666666,0.0,0,1.136,4.15,6.642,98.886,99.96,85.589,79.978,92.414,7.508,-10.939,88.938,13.158,3.764,0.995,28.882,6.594,3.349,7.629,0.9828615384615385,0.9995,0.8198624999999999,0.7892421052631579,0.9107529411764708,0.0790877192982456,0.38122,0.8419714285714286,0.0340588235294117,0.1338888888888889,0.9888888888888888,0.4030370370370371,0.3985000000000001,0.2717543859649123,0.9381666666666666,58.212347888888885,7.940347888888887
lhs_critical_20260813_0101,lhs,critical,lhs__critical,3,"20260821,20260822,20260823",48.968,1.42136694769507,47.348,50.006,medium,0.6666666666666666,0.0,0,1.234,4.113,9.403,95.051,97.833,97.585,95.459,98.734,5.181,-25.371,89.669,15.879,3.377,0.992,31.775,5.321,3.484,7.74,0.9238615384615384,0.9729125,0.9698125,0.9522,0.9851058823529412,0.0382631578947368,0.09258,0.8524142857142857,0.1140882352941176,0.0801388888888888,0.9822222222222222,0.5101851851851852,0.0802499999999999,0.295438596491228,0.9566666666666668,60.42813753968256,11.460137539682556
lhs_high_20260813_0024,lhs,high,lhs__high,3,"20260821,20260822,20260823",50.318666666666665,0.0690386365257432,50.251,50.389,high,1.0,0.0,0,1.075,4.025,3.318,91.728,89.337,75.634,81.346,82.168,13.17,-15.886,77.099,21.122,3.959,0.891,32.779,6.284,3.378,4.508,0.8727384615384615,0.8667125,0.695425,0.8036421052631579,0.7902117647058824,0.1784210526315789,0.28228,0.6728428571428572,0.2682941176470588,0.1609722222222222,0.7577777777777778,0.5473703703703705,0.3209999999999999,0.2768421052631579,0.418,49.80383558862431,0.5148310780423557
lhs_high_20260813_0077,lhs,high,lhs__high,3,"20260821,20260822,20260823",44.736,0.1158576713040603,44.647,44.867,medium,1.0,0.0,0,1.16,4.344,10.38,86.869,93.125,71.146,56.456,82.669,6.997,-8.727,85.195,23.46,5.587,0.936,23.457,6.649,4.112,4.917,0.7979846153846154,0.9140625,0.639325,0.5416421052631579,0.7961058823529411,0.0701228070175438,0.42546,0.7884999999999999,0.3370588235294118,0.3870833333333333,0.8577777777777779,0.2021111111111111,0.41225,0.4056140350877193,0.4861666666666666,44.975692971340365,0.23969297134036793
lhs_high_20260813_0106,lhs,high,lhs__high,3,"20260821,20260822,20260823",51.74733333333334,0.0915113836270293,51.694,51.853,high,1.0,0.0,0,1.008,4.021,4.574,90.861,99.09,76.954,65.174,91.264,17.849,-7.126,96.606,21.692,5.059,0.902,29.184,7.747,3.683,5.635,0.8594,0.988625,0.7119249999999999,0.6334105263157895,0.8972235294117646,0.2605087719298246,0.45748,0.9515142857142856,0.2850588235294117,0.31375,0.7822222222222223,0.4142222222222222,0.68675,0.3303508771929824,0.6058333333333333,52.99508399470901,1.247750661375676
lhs_low_20260813_0010,lhs,low,lhs__low,3,"20260821,20260822,20260823",25.866333333333333,0.1154180806170894,25.757,25.987,medium,1.0,0.0,0,1.638,4.254,15.22,71.483,55.244,23.376,34.058,36.285,54.405,7.987,43.48,37.498,7.566,0.731,35.961,8.757,7.081,3.363,0.5612769230769231,0.44055,0.0422,0.3058736842105263,0.2504117647058823,0.901842105263158,0.7597400000000001,0.1925714285714285,0.7499411764705881,0.6619444444444444,0.4022222222222221,0.6652222222222222,0.93925,0.9264912280701756,0.2271666666666666,25.619066394179928,0.24726693915340547
lhs_low_20260813_0077,lhs,low,lhs__low,3,"20260821,20260822,20260823",24.584666666666667,0.4786902269039276,24.032,24.869,low,1.0,0.0,0,1.643,4.251,12.654,42.167,51.262,54.763,26.767,31.673,41.856,10.131,54.63,41.143,9.257,0.755,32.349,7.222,6.28,2.438,0.1102615384615384,0.390775,0.4345374999999999,0.2291263157894736,0.1961529411764705,0.6816842105263158,0.80262,0.3518571428571428,0.8571470588235295,0.8968055555555555,0.4555555555555555,0.5314444444444443,0.5555000000000001,0.7859649122807018,0.073,25.430097180335125,0.8454305136684575
lhs_low_20260813_0128,lhs,low,lhs__low,3,"20260821,20260822,20260823",24.47433333333333,0.0110151410945713,24.467,24.487,low,1.0,0.0,0,1.654,4.273,10.944,40.55,20.9,45.914,6.383,23.86,47.108,9.702,53.521,36.121,8.761,0.602,42.926,7.037,6.783,2.097,0.0853846153846153,0.0112499999999999,0.323925,0.0145578947368421,0.104235294117647,0.7738245614035087,0.79404,0.3360142857142857,0.7094411764705884,0.8279166666666665,0.1155555555555554,0.9231851851851852,0.50925,0.8742105263157895,0.0161666666666666,24.858139844797165,0.3838065114638347
lhs_medium_20260813_0026,lhs,medium,lhs__medium,3,"20260821,20260822,20260823",28.41333333333333,0.1238399504737187,28.311,28.551,medium,1.0,0.0,0,1.645,4.15,13.13,71.278,65.778,66.141,40.513,59.924,33.134,2.617,75.474,33.497,7.0,0.782,29.71,7.121,5.87,4.003,0.558123076923077,0.5722250000000001,0.5767625000000001,0.3738210526315789,0.5285176470588235,0.5286666666666666,0.6523399999999999,0.6496285714285714,0.632264705882353,0.5833333333333334,0.5155555555555555,0.4337037037037037,0.5302500000000001,0.7140350877192982,0.3338333333333333,28.7825963373016,0.36926300396827116
lhs_medium_20260813_0041,lhs,medium,lhs__medium,3,"20260821,20260822,20260823",30.77,0.587091985978347,30.093,31.139,medium,1.0,0.0,0,1.688,4.225,6.936,63.12,70.326,54.663,39.561,59.666,15.62,3.927,73.784,30.818,5.549,0.74,35.622,7.786,4.627,4.053,0.4326153846153845,0.6290749999999999,0.4332874999999999,0.3638,0.5254823529411764,0.2214035087719298,0.67854,0.6254857142857144,0.5534705882352942,0.3818055555555556,0.4222222222222221,0.6526666666666666,0.6964999999999999,0.4959649122807017,0.3421666666666667,33.09188294708992,2.3218829470899216
lhs_medium_20260813_0110,lhs,medium,lhs__medium,3,"20260821,20260822,20260823",32.588,0.1535284989830867,32.417,32.714,medium,1.0,0.0,0,1.667,4.355,7.001,85.094,69.166,68.624,42.963,69.798,21.658,3.648,76.972,32.668,7.222,0.865,38.869,7.994,5.27,4.496,0.770676923076923,0.614575,0.6077999999999999,0.3996105263157894,0.6446823529411765,0.3273333333333333,0.6729600000000001,0.6710285714285713,0.6078823529411764,0.6141666666666667,0.7,0.7729259259259259,0.7484999999999999,0.6087719298245613,0.4160000000000001,32.1261572433862,0.46184275661379814
